[2025-12-17 03:53:50] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:51] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:52] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:53] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:54] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:55] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:56] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:53:57] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:53:58] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:00] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:54:01] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:02] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:54:03] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:04] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:54:05] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:06] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:54:07] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:08] Partie 1 - Joueur 1 joue carte 57 (1 têtes), prend 0 têtes
[2025-12-17 03:54:09] Partie 1 - Joueur 2 joue carte 30 (3 têtes), prend 0 têtes
[2025-12-17 03:54:10] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:10] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:11] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:11] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:12] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:12] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:13] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:13] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:15] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:15] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:16] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:16] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:17] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:17] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:18] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:18] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:19] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:19] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:20] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:20] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:21] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:21] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:22] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:22] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:23] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:23] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:24] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:24] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:26] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:26] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:27] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:27] Partie 2 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
[2025-12-17 03:54:28] Partie 1 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:28] Partie 2 - Joueur 1 joue carte 12 (1 têtes), prend 0 têtes
[2025-12-17 03:54:29] Partie 1 - Joueur 2 joue carte 76 (1 têtes), prend 0 têtes
